iter	Passed	Remaining
0	1	107
1	1	92
2	2	90
3	3	83
4	4	87
5	5	93
6	7	97
7	8	98
8	9	98
9	10	97
10	12	98
11	13	97
12	14	96
13	15	96
14	16	95
15	17	94
16	18	92
17	19	90
18	21	90
19	22	88
20	23	86
21	24	85
22	25	84
23	26	82
24	27	81
25	27	79
26	28	77
27	29	75
28	30	74
29	31	73
30	32	71
31	33	70
32	33	68
33	34	67
34	35	65
35	36	64
36	37	63
37	38	62
38	39	61
39	40	60
40	40	58
41	41	57
42	42	55
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	48	46
51	49	45
52	50	44
53	51	43
54	52	42
55	52	41
56	53	40
57	54	39
58	55	38
59	56	37
60	56	36
61	57	35
62	58	34
63	59	33
64	60	32
65	60	31
66	61	30
67	62	29
68	63	28
69	63	27
70	64	26
71	65	25
72	66	24
73	67	23
74	67	22
75	68	21
76	69	20
77	70	19
78	71	18
79	71	17
80	72	17
81	73	16
82	74	15
83	74	14
84	75	13
85	76	12
86	77	11
87	77	10
88	78	9
89	79	8
90	80	7
91	80	7
92	81	6
93	82	5
94	83	4
95	84	3
96	85	2
97	85	1
98	86	0
99	87	0
